First name,Last name,Email,Description,Merchant code,Amount,From Currency,To Currency,Rate,Date
Yvie,Mueller,yvie.mueller@mailinator.com,BUY GOLD,,95.7549485,GBP,GGM,47.7478,26/01/2020 23:37
Rabia,Wells,rabia.wells@mailinator.com,CARD SPEND,5441,73.6793621,GBP,GGM,47.0892,06/04/2020 18:04
Amari,Delaney,amari.delaney@mailinator.com,BUY GOLD,,75.9357455,GBP,GGM,47.0892,06/01/2020 12:04
Milly,Whitehead,milly.whitehead@mailinator.com,CARD SPEND,5441,33.4322568,GBP,GGM,47.7937,26/03/2020 18:24
Jean,Perez,jean.perez@mailinator.com,SELL GOLD,,0.3039302,GGM,GBP,47.7555,16/01/2020 03:19
Mared,Payne,mared.payne@mailinator.com,SELL GOLD,,0.2442596,GGM,GBP,47.7555,29/01/2020 22:31
Reegan,Foley,reegan.foley@mailinator.com,CARD SPEND,5441,2.0435079,GGM,GBP,47.7494,20/06/2020 15:19
Nelson,Mcconnell,nelson.mcconnell@mailinator.com,CARD SPEND,5045,0.1290774,GGM,GBP,47.7096,04/06/2020 11:08
Elle,Salazar,elle.salazar@mailinator.com,SELL GOLD,,1.2098146,GGM,GBP,47.7478,23/04/2020 05:35
Gene,Ramirez,gene.ramirez@mailinator.com,CARD SPEND,5411,1.9927244,GBP,GGM,47.7096,05/05/2020 10:48
Abdur-Rahman,Dean,abdur-rahman.dean@mailinator.com,CARD SPEND,5311,34.261807,GBP,GGM,47.7555,07/08/2020 07:01
Haroon,Kavanagh,haroon.kavanagh@mailinator.com,CARD SPEND,5013,94.7741351,GBP,GGM,47.7515,10/07/2020 22:25
Sabah,Fields,sabah.fields@mailinator.com,BUY GOLD,,60.5701846,GBP,GGM,48.0231,20/02/2020 10:24
Izaac,Mackay,izaac.mackay@mailinator.com,BUY GOLD,,88.1532392,GBP,GGM,47.7143,08/02/2020 06:44
Skyla,Mckay,skyla.mckay@mailinator.com,CARD SPEND,5411,43.6245005,GBP,GGM,47.7515,26/05/2020 10:08
Lyndon,Dyer,lyndon.dyer@mailinator.com,CARD SPEND,5045,1.8959628,GGM,GBP,47.7143,18/07/2020 16:35
Igor,Griffiths,igor.griffiths@mailinator.com,BUY GOLD,,55.8057667,GBP,GGM,47.0892,10/05/2020 17:22
Karson,Barry,karson.barry@mailinator.com,CARD SPEND,5311,59.9915348,GBP,GGM,48.0231,02/03/2020 14:27
Ismaeel,Cope,ismaeel.cope@mailinator.com,SELL GOLD,,1.4030739,GGM,GBP,48.5679,07/03/2020 11:43
Patrycja,Anthony,patrycja.anthony@mailinator.com,CARD SPEND,5441,1.8250562,GGM,GBP,48.0231,29/08/2020 18:43
T-Jay,Atherton,t-jay.atherton@mailinator.com,CARD SPEND,5072,55.1426741,GBP,GGM,47.7071,07/05/2020 09:29
Poppy-Mae,Dunlop,poppy-mae.dunlop@mailinator.com,SELL GOLD,,0.049207,GGM,GBP,48.0231,01/03/2020 04:02
Bridget,Greenwood,bridget.greenwood@mailinator.com,CARD SPEND,5462,0.9602704,GGM,GBP,47.7497,17/07/2020 04:35
Rafi,Heaton,rafi.heaton@mailinator.com,BUY GOLD,,53.390383,GBP,GGM,48.0231,28/06/2020 14:54
Charity,Cresswell,charity.cresswell@mailinator.com,CARD SPEND,5045,1.1283229,GGM,GBP,47.7937,17/03/2020 12:08
Jaxson,Chapman,jaxson.chapman@mailinator.com,BUY GOLD,,62.5495832,GBP,GGM,47.7494,20/08/2020 08:31
Dollie,Turnbull,dollie.turnbull@mailinator.com,SELL GOLD,,0.8345758,GGM,GBP,47.7478,18/02/2020 02:14
Ned,Robin,ned.robin@mailinator.com,SELL GOLD,,0.1359193,GGM,GBP,47.7096,21/07/2020 15:34
Nella,Hines,nella.hines@mailinator.com,CARD SPEND,5462,51.4554063,GBP,GGM,47.7497,30/05/2020 03:31
Andrea,Bauer,andrea.bauer@mailinator.com,CARD SPEND,5441,48.0806737,GBP,GGM,47.7534,16/07/2020 18:42
Ceara,Valdez,ceara.valdez@mailinator.com,CARD SPEND,5411,1.9375315,GGM,GBP,47.7555,24/02/2020 12:03
Kobi,Travers,kobi.travers@mailinator.com,SELL GOLD,,1.7269453,GGM,GBP,48.0231,24/05/2020 00:45
Anisah,Joyner,anisah.joyner@mailinator.com,CARD SPEND,5045,0.0887761,GGM,GBP,47.7143,02/08/2020 07:27
Jasper,Haworth,jasper.haworth@mailinator.com,CARD SPEND,5311,2.5014797,GBP,GGM,47.7515,12/07/2020 21:19
Zane,Curran,zane.curran@mailinator.com,CARD SPEND,5411,0.8746757,GGM,GBP,47.7555,05/02/2020 12:26
Murphy,Gough,murphy.gough@mailinator.com,CARD SPEND,5411,1.1467283,GGM,GBP,48.0231,14/02/2020 08:10
Abdullahi,Newton,abdullahi.newton@mailinator.com,CARD SPEND,5013,0.1704931,GGM,GBP,47.7515,31/03/2020 14:39
Duane,Morris,duane.morris@mailinator.com,CARD SPEND,5045,39.8188204,GBP,GGM,47.7071,01/01/2020 11:18
Kaja,Cunningham,kaja.cunningham@mailinator.com,CARD SPEND,5411,89.8322186,GBP,GGM,47.7543,24/07/2020 08:25
Declan,Wills,declan.wills@mailinator.com,SELL GOLD,,0.5591787,GGM,GBP,47.7543,18/06/2020 03:49
Saul,Flowers,saul.flowers@mailinator.com,CARD SPEND,5013,0.7991462,GGM,GBP,48.0231,07/08/2020 10:57
Solomon,Guerrero,solomon.guerrero@mailinator.com,CARD SPEND,5021,1.9115909,GGM,GBP,47.7937,08/05/2020 15:42
Gerard,Bouvet,gerard.bouvet@mailinator.com,SELL GOLD,,0.054087,GGM,GBP,47.7096,26/07/2020 21:25
Stacy,Everett,stacy.everett@mailinator.com,SELL GOLD,,1.4119154,GGM,GBP,48.4343,01/08/2020 01:18
Braiden,Chamberlain,braiden.chamberlain@mailinator.com,CARD SPEND,5021,6.8192509,GBP,GGM,48.4343,07/07/2020 04:00
Ishan,Castro,ishan.castro@mailinator.com,CARD SPEND,5072,1.7742868,GGM,GBP,48.0231,01/05/2020 15:14
Edison,Casey,edison.casey@mailinator.com,SELL GOLD,,1.8172181,GGM,GBP,47.7534,14/01/2020 16:16
Bill,Bellamy,bill.bellamy@mailinator.com,CARD SPEND,5072,81.3812774,GBP,GGM,47.7555,24/06/2020 21:24
Sarina,Roberson,sarina.roberson@mailinator.com,CARD SPEND,5021,46.8215038,GBP,GGM,47.7071,25/02/2020 21:02
Katy,Wainwright,katy.wainwright@mailinator.com,CARD SPEND,5045,57.8521815,GBP,GGM,47.0892,28/04/2020 12:49
Safiyah,Bennett,safiyah.bennett@mailinator.com,CARD SPEND,5441,55.6916089,GBP,GGM,47.7534,27/07/2020 21:59
Graeme,Wise,graeme.wise@mailinator.com,SELL GOLD,,1.9616257,GGM,GBP,48.0231,08/02/2020 18:37
Massimo,Luna,massimo.luna@mailinator.com,BUY GOLD,,45.6423399,GBP,GGM,47.7497,02/06/2020 17:29
Wayne,Glass,wayne.glass@mailinator.com,BUY GOLD,,0.102593,GBP,GGM,48.4343,09/03/2020 13:00
Amin,Gonzalez,amin.gonzalez@mailinator.com,SELL GOLD,,0.7626854,GGM,GBP,47.7555,25/01/2020 03:53
Shaan,Friedman,shaan.friedman@mailinator.com,CARD SPEND,5013,0.6304808,GGM,GBP,47.7494,20/06/2020 17:37
Ziggy,Morrison,ziggy.morrison@mailinator.com,SELL GOLD,,1.9545363,GGM,GBP,47.7143,11/08/2020 22:25
Iwan,Ochoa,iwan.ochoa@mailinator.com,CARD SPEND,5045,89.0868221,GBP,GGM,47.7937,07/03/2020 03:57
Macauly,Sexton,macauly.sexton@mailinator.com,SELL GOLD,,1.843282,GGM,GBP,47.7543,09/02/2020 15:52
Ethan,Grainger,ethan.grainger@mailinator.com,SELL GOLD,,1.616374,GGM,GBP,47.7497,11/06/2020 05:44
Caius,Witt,caius.witt@mailinator.com,CARD SPEND,5072,1.0782114,GGM,GBP,48.0231,25/05/2020 12:10
Sorcha,Galindo,sorcha.galindo@mailinator.com,CARD SPEND,5021,0.9509424,GGM,GBP,47.7555,17/04/2020 06:48
Dottie,Fitzpatrick,dottie.fitzpatrick@mailinator.com,BUY GOLD,,17.9410466,GBP,GGM,48.4343,13/01/2020 10:38
Mckenzie,Woods,mckenzie.woods@mailinator.com,SELL GOLD,,1.2551519,GGM,GBP,47.7543,08/06/2020 00:58
Kane,Woolley,kane.woolley@mailinator.com,CARD SPEND,5411,1.1497486,GGM,GBP,48.4343,29/04/2020 01:10
Clifford,Alexander,clifford.alexander@mailinator.com,CARD SPEND,5013,1.1275815,GGM,GBP,47.7555,20/05/2020 05:28
Aiyla,Langley,aiyla.langley@mailinator.com,BUY GOLD,,9.2496525,GBP,GGM,47.7096,01/07/2020 22:44
Sufyaan,Flower,sufyaan.flower@mailinator.com,BUY GOLD,,9.4912616,GBP,GGM,47.7494,18/06/2020 02:47
Benedict,Hobbs,benedict.hobbs@mailinator.com,SELL GOLD,,0.7935177,GGM,GBP,47.7096,27/02/2020 05:18
Hunter,Gilliam,hunter.gilliam@mailinator.com,CARD SPEND,5311,2.3079372,GBP,GGM,47.7497,24/01/2020 00:22
Sheldon,Wallace,sheldon.wallace@mailinator.com,BUY GOLD,,74.1353462,GBP,GGM,48.0231,29/04/2020 23:52
Tahmid,Reyna,tahmid.reyna@mailinator.com,CARD SPEND,5441,99.4335684,GBP,GGM,47.7478,04/07/2020 15:00
Zaydan,Escobar,zaydan.escobar@mailinator.com,BUY GOLD,,18.2924978,GBP,GGM,47.7497,14/01/2020 18:59
Roman,Travis,roman.travis@mailinator.com,CARD SPEND,5045,18.0126386,GBP,GGM,47.7478,09/04/2020 21:49
Giacomo,Swanson,giacomo.swanson@mailinator.com,BUY GOLD,,55.8101711,GBP,GGM,47.7478,10/07/2020 14:10
Rex,Nichols,rex.nichols@mailinator.com,CARD SPEND,5013,3.2721434,GBP,GBP,1,11/03/2020 01:13
Iylah,Higgins,iylah.higgins@mailinator.com,CARD SPEND,5311,1.1969561,GGM,GBP,48.5679,13/01/2020 03:28
Stephanie,Prosser,stephanie.prosser@mailinator.com,BUY GOLD,,42.8015706,GBP,GGM,48.0231,05/01/2020 23:50
Tamanna,Camacho,tamanna.camacho@mailinator.com,SELL GOLD,,1.545752,GGM,GBP,47.0892,16/04/2020 18:19
Ritchie,Humphries,ritchie.humphries@mailinator.com,SELL GOLD,,1.6419051,GGM,GBP,47.7555,14/01/2020 11:13
Ayaz,Romero,ayaz.romero@mailinator.com,SELL GOLD,,0.814484,GGM,GBP,47.7515,19/05/2020 06:52
Lexie,Broughton,lexie.broughton@mailinator.com,BUY GOLD,,1.2011351,GBP,GGM,47.7534,18/08/2020 21:35
Osama,Zimmerman,osama.zimmerman@mailinator.com,CARD SPEND,5311,80.5925557,GBP,GGM,47.7543,23/07/2020 21:12
Elouise,Coleman,elouise.coleman@mailinator.com,BUY GOLD,,58.9042422,GBP,GGM,48.4343,14/05/2020 03:41
Rosina,Shelton,rosina.shelton@mailinator.com,BUY GOLD,,5.4060687,GBP,GGM,48.5679,07/06/2020 22:38
Javan,Mcnamara,javan.mcnamara@mailinator.com,CARD SPEND,5462,0.1888557,GGM,GBP,48.5679,11/08/2020 09:39
Kurtis,Mayo,kurtis.mayo@mailinator.com,CARD SPEND,5013,91.1624115,GBP,GGM,47.7515,14/03/2020 18:47
Rajan,Whitfield,rajan.whitfield@mailinator.com,CARD SPEND,5411,1.6572185,GGM,GBP,47.7494,25/01/2020 14:00
Sila,Bonner,sila.bonner@mailinator.com,SELL GOLD,,0.5106686,GGM,GBP,47.7494,26/04/2020 20:02
Mayur,Koch,mayur.koch@mailinator.com,SELL GOLD,,0.1267657,GGM,GBP,48.0231,04/04/2020 05:28
Brittney,Wynn,brittney.wynn@mailinator.com,CARD SPEND,5021,0.5994696,GGM,GBP,47.7494,16/04/2020 09:23
Alfred,Rasmussen,alfred.rasmussen@mailinator.com,CARD SPEND,5072,0.4491228,GGM,GBP,47.7096,04/03/2020 14:53
Daanish,Forbes,daanish.forbes@mailinator.com,SELL GOLD,,1.8382506,GGM,GBP,48.0231,15/04/2020 12:47
Dominick,Watson,dominick.watson@mailinator.com,CARD SPEND,5045,1.9701128,GGM,GBP,47.7555,13/01/2020 03:33
Andy,Nguyen,andy.nguyen@mailinator.com,CARD SPEND,5013,82.9119948,GBP,GGM,47.7478,20/02/2020 03:23
Ruairidh,Correa,ruairidh.correa@mailinator.com,SELL GOLD,,0.3661508,GGM,GBP,48.5679,01/05/2020 18:22
Spike,Schmitt,spike.schmitt@mailinator.com,CARD SPEND,5013,1.0166452,GGM,GBP,48.5679,27/02/2020 13:49
Natasha,Dean,natasha.dean@mailinator.com,SELL GOLD,,0.333806,GGM,GBP,47.7515,14/07/2020 14:23
Renzo,Dawson,renzo.dawson@mailinator.com,CARD SPEND,5411,70.0689416,GBP,GGM,47.7555,30/03/2020 00:34
Victoria,Hurley,victoria.hurley@mailinator.com,CARD SPEND,5072,14.6132764,GBP,GGM,47.7478,30/03/2020 00:47
Syed,Cortez,syed.cortez@mailinator.com,CARD SPEND,5441,1.0095483,GGM,GBP,47.7543,01/06/2020 04:50
Alexandre,Graves,alexandre.graves@mailinator.com,SELL GOLD,,1.5075711,GGM,GBP,47.7096,26/04/2020 12:49
Tasha,Weaver,tasha.weaver@mailinator.com,BUY GOLD,,38.5796737,GBP,GGM,47.7478,02/02/2020 19:55
Danial,Odonnell,danial.odonnell@mailinator.com,CARD SPEND,5013,39.393741,GBP,GGM,47.7143,17/06/2020 10:21
Jack,Macleod,jack.macleod@mailinator.com,CARD SPEND,5411,1.2302689,GGM,GBP,47.7494,12/03/2020 06:08
Faiza,Martins,faiza.martins@mailinator.com,CARD SPEND,5311,1.0661291,GGM,GBP,48.4343,19/08/2020 08:24
Kendrick,Travers,kendrick.travers@mailinator.com,CARD SPEND,5311,1.9618012,GGM,GBP,48.5679,05/08/2020 10:51
Cataleya,Kirk,cataleya.kirk@mailinator.com,SELL GOLD,,1.4631645,GGM,GBP,47.7937,20/01/2020 07:12
Vikki,Avalos,vikki.avalos@mailinator.com,CARD SPEND,5311,0.8434513,GGM,GBP,47.7096,21/07/2020 16:35
Amira,Salgado,amira.salgado@mailinator.com,BUY GOLD,,34.8247928,GBP,GGM,47.7494,14/03/2020 01:48
Tillie,Richard,tillie.richard@mailinator.com,SELL GOLD,,1.0145081,GGM,GBP,47.7515,17/05/2020 19:14
Sullivan,Page,sullivan.page@mailinator.com,SELL GOLD,,1.186246,GGM,GBP,48.5679,17/08/2020 15:29
Firat,Schofield,firat.schofield@mailinator.com,CARD SPEND,5462,0.5346965,GGM,GBP,47.0892,11/07/2020 12:04
Sumaiya,Fellows,sumaiya.fellows@mailinator.com,CARD SPEND,5311,1.56621,GGM,GBP,47.7543,16/08/2020 19:59
Layan,Sumner,layan.sumner@mailinator.com,SELL GOLD,,0.8627053,GGM,GBP,47.0892,04/06/2020 14:06
Iram,Greenwood,iram.greenwood@mailinator.com,CARD SPEND,5441,6.0806639,GBP,GGM,48.4343,18/06/2020 08:05
Milosz,Delaney,milosz.delaney@mailinator.com,BUY GOLD,,44.0492792,GBP,GGM,48.0231,08/05/2020 20:01
Asif,Trujillo,asif.trujillo@mailinator.com,BUY GOLD,,69.2997923,GBP,GGM,48.5679,18/01/2020 00:30
Yasin,Barajas,yasin.barajas@mailinator.com,CARD SPEND,5441,0.6036916,GGM,GBP,47.7143,17/04/2020 18:17
Rayhaan,Torres,rayhaan.torres@mailinator.com,CARD SPEND,5462,1.3348981,GGM,GBP,47.7096,05/02/2020 12:43
Reginald,Watts,reginald.watts@mailinator.com,CARD SPEND,5072,62.5361911,GBP,GGM,47.7096,30/04/2020 22:13
Kellie,Hopper,kellie.hopper@mailinator.com,CARD SPEND,5311,0.9577126,GGM,GBP,47.7937,25/07/2020 00:12
Jadene,Stevens,jadene.stevens@mailinator.com,BUY GOLD,,61.3786529,GBP,GGM,47.7478,18/06/2020 04:45
Ammaarah,Carpenter,ammaarah.carpenter@mailinator.com,SELL GOLD,,1.621276,GGM,GBP,47.7497,21/06/2020 14:45
Axl,Bray,axl.bray@mailinator.com,CARD SPEND,5411,31.0281204,GBP,GGM,48.5679,15/04/2020 15:09
Vladimir,Hastings,vladimir.hastings@mailinator.com,BUY GOLD,,62.0230349,GBP,GGM,47.7494,12/06/2020 03:18
Reese,Sheldon,reese.sheldon@mailinator.com,SELL GOLD,,0.1398328,GGM,GBP,48.0231,15/01/2020 01:18
Madelaine,Richardson,madelaine.richardson@mailinator.com,SELL GOLD,,0.3163562,GGM,GBP,47.7937,17/02/2020 00:13
Fenton,Bowler,fenton.bowler@mailinator.com,BUY GOLD,,75.7887944,GBP,GGM,47.7096,09/05/2020 13:10
Tomasz,Kidd,tomasz.kidd@mailinator.com,CARD SPEND,5311,0.847392,GGM,GBP,47.7071,02/01/2020 15:53
Letitia,Key,letitia.key@mailinator.com,CARD SPEND,5021,82.5934674,GBP,GGM,48.4343,26/03/2020 20:48
Frances,Tyson,frances.tyson@mailinator.com,SELL GOLD,,1.9825834,GGM,GBP,48.5679,20/01/2020 23:33
Laiba,Washington,laiba.washington@mailinator.com,BUY GOLD,,28.2488473,GBP,GGM,47.7534,05/08/2020 20:35
Thelma,Rodriguez,thelma.rodriguez@mailinator.com,BUY GOLD,,33.7731578,GBP,GGM,47.0892,08/01/2020 12:22
Samual,Wallis,samual.wallis@mailinator.com,SELL GOLD,,0.8247014,GGM,GBP,47.7555,02/02/2020 06:24
Farah,Sanchez,farah.sanchez@mailinator.com,CARD SPEND,5021,69.1243264,GBP,GGM,47.7937,11/08/2020 14:56
Ayomide,Hardy,ayomide.hardy@mailinator.com,BUY GOLD,,54.2475358,GBP,GGM,47.7096,07/03/2020 02:59
Rees,Archer,rees.archer@mailinator.com,CARD SPEND,5072,1.2176344,GGM,GBP,48.4343,20/03/2020 00:12
Robert,Ibarra,robert.ibarra@mailinator.com,BUY GOLD,,97.3855992,GBP,GGM,47.7555,27/06/2020 01:19
Iolo,Krueger,iolo.krueger@mailinator.com,CARD SPEND,5462,86.2385215,GBP,GGM,48.0231,19/05/2020 08:43
Emile,Hinton,emile.hinton@mailinator.com,CARD SPEND,5045,77.3604521,GBP,GGM,48.5679,01/03/2020 20:21
Boyd,Reese,boyd.reese@mailinator.com,CARD SPEND,5311,1.0328776,GGM,GBP,47.7555,07/05/2020 13:26
Teodor,Rowley,teodor.rowley@mailinator.com,SELL GOLD,,0.2923854,GGM,GBP,47.7071,10/03/2020 02:36
Makenzie,Horne,makenzie.horne@mailinator.com,BUY GOLD,,38.4070908,GBP,GGM,47.7143,28/06/2020 02:17
Martine,Newton,martine.newton@mailinator.com,CARD SPEND,5021,73.1595713,GBP,GBP,1,24/01/2020 04:30
Leonardo,Dawe,leonardo.dawe@mailinator.com,BUY GOLD,,40.0426672,GBP,GGM,48.4343,19/01/2020 07:27
Victoria,Gamble,victoria.gamble@mailinator.com,CARD SPEND,5311,1.5731732,GGM,GBP,48.4343,21/01/2020 11:54
Arya,Bowden,arya.bowden@mailinator.com,CARD SPEND,5311,0.0977591,GGM,GBP,47.7515,11/05/2020 09:16
Lacy,Henderson,lacy.henderson@mailinator.com,BUY GOLD,,71.2920321,GBP,GGM,47.7534,26/04/2020 02:57
Garrett,Villa,garrett.villa@mailinator.com,SELL GOLD,,1.0863308,GGM,GBP,47.7543,15/01/2020 06:26
Billy-Joe,Greenaway,billy-joe.greenaway@mailinator.com,BUY GOLD,,34.0038115,GBP,GGM,47.7478,25/03/2020 21:36
Liana,Gaines,liana.gaines@mailinator.com,SELL GOLD,,0.4534467,GGM,GBP,48.5679,07/05/2020 02:08
Rita,Lewis,rita.lewis@mailinator.com,CARD SPEND,5072,1.8420958,GGM,GBP,47.7534,27/06/2020 04:55
Mikayla,Stamp,mikayla.stamp@mailinator.com,CARD SPEND,5013,6.1705669,GBP,GGM,48.0231,01/04/2020 12:41
Yolanda,Walters,yolanda.walters@mailinator.com,CARD SPEND,5045,46.1805183,GBP,GGM,47.0892,14/07/2020 01:34
Tomas,Whelan,tomas.whelan@mailinator.com,SELL GOLD,,0.2850551,GGM,GBP,47.7494,11/08/2020 12:17
Tasha,Garner,tasha.garner@mailinator.com,SELL GOLD,,0.4661314,GGM,GBP,47.7543,14/03/2020 05:58
Tiffany,Duncan,tiffany.duncan@mailinator.com,BUY GOLD,,63.4706132,GBP,GGM,47.7515,02/04/2020 17:37
Imaan,Oconnell,imaan.oconnell@mailinator.com,SELL GOLD,,1.0695392,GGM,GBP,47.7096,19/03/2020 10:50
Sadia,O'Doherty,sadia.o'doherty@mailinator.com,CARD SPEND,5462,0.8374052,GGM,GBP,47.7143,13/06/2020 21:20
